label,variant,run_dir,epoch,test_loss,test_rmsae_deg,epoch_time_s,lr
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,22.0,0.02542215585708618,7.99873161315918,427.26623290000134,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,23.0,0.027459871023893356,8.58962631225586,416.5940000970004,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,24.0,0.02619827166199684,8.071914672851562,418.13165499399474,0.0001
maba,maba,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_maba_20260407_005546,25.0,0.025557132437825203,7.874738693237305,431.3063511709988,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,1.0,0.1947319060564041,37.776039123535156,420.0361264480007,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,2.0,0.04739280790090561,16.76641845703125,422.0313302169998,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,3.0,0.03537467122077942,13.572970390319824,410.49372504499934,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,4.0,0.031947921961545944,11.989508628845215,430.11326028000076,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,5.0,0.03142295777797699,11.143012046813965,421.761821477,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,6.0,0.02840753085911274,9.875558853149414,428.1625765230001,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,7.0,0.0308131854981184,11.591178894042969,413.98601753300045,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,8.0,0.0284147709608078,10.178153038024902,426.85591459199986,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,9.0,0.02804010920226574,9.702499389648438,415.1489739860008,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,10.0,0.028477994725108147,9.877360343933105,432.7485340059993,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,11.0,0.026873670518398285,8.923487663269043,420.02521432999856,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,12.0,0.02635139599442482,8.96899127960205,420.0777647499999,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,13.0,0.025648143142461777,8.521783828735352,424.91341976500007,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,14.0,0.025659114122390747,8.448006629943848,416.31566963799924,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,15.0,0.024787800386548042,8.548604011535645,421.0150324690003,0.0001
ablation_no_gate,ablation_no_gate,/home/cmm/icocnn/maba_doa/outputs/maba_doa_r2_ablation_no_gate_retry25_20260407_125521,16.0,0.026766769587993622,8.894001960754395,423.9531050099995,0.0001
