epoch,phase,lr,batch_size,micro_batch_size,train_loss,val_loss,val_rmsae_deg,epoch_time_s
36,2,1e-05,10,1,0.018685362773796177,0.01700319381779991,5.897367127239704,1730.969818559941
37,2,1e-05,10,1,0.01833163998527532,0.01699096499942243,5.896447129547596,1713.2439222058747
38,2,1e-05,10,1,0.017926809769601395,0.016994524310575798,5.890963643789291,1735.1354453680106
39,2,1e-05,10,1,0.018162765497994473,0.017006399430101737,5.877450726926327,1761.3628742340952
40,2,1e-05,10,1,0.018831861769764598,0.016986100148642436,5.868740603327751,1777.0594083319884
41,2,1e-05,10,1,0.017993144018368587,0.01696834625909105,5.8751789927482605,1713.280070100911
42,2,1e-05,10,1,0.018210093948480666,0.016973345511360094,5.893746018409729,1750.0865502839442
43,2,1e-05,10,1,0.018786444518969863,0.016947842086665332,5.884310759603977,1730.2156889359467
44,2,1e-05,10,1,0.019005181076021022,0.016977558290818706,5.852940998971462,1763.2654950451106
45,2,1e-05,10,1,0.017915890837072308,0.017008320544846356,5.859577395021915,2518.5118406389374
46,2,1e-05,10,1,0.01828430014718165,0.016943604045081884,5.849992290139198,2058.8157563870773
47,2,1e-05,10,1,0.018475291774504715,0.016925701085710898,5.848618544638157,1737.018903309945
48,2,1e-05,10,1,0.018509944597593486,0.016917172411922365,5.8835019543766975,1751.1636938599404
49,2,1e-05,10,1,0.018284138882707836,0.016888445243239403,5.86844465136528,1740.1345631100703
50,2,1e-05,10,1,0.017924794678886732,0.016909739817492664,5.860049895942211,1745.3400854801293
51,2,1e-05,10,1,0.01795956301383483,0.01689081618678756,5.835379898548126,1720.7319867371116
52,2,1e-05,10,1,0.01852433377255996,0.016903527808608487,5.847422622144222,1743.5898109951522
53,2,1e-05,10,1,0.017993533712389886,0.016883107891771942,5.842604175209999,1725.236876862822
54,2,1e-05,10,1,0.01806729504217704,0.01689051219727844,5.836855232715607,1717.3509980458766
55,2,1e-05,10,1,0.017779595804456462,0.01691794555517845,5.852416075766087,1698.2047183690593
56,2,1e-05,10,1,0.018611831737793665,0.016882732801605016,5.843286707997322,1729.6908992251847
57,2,1e-05,10,1,0.01804588567545144,0.016861943586263806,5.826715476810932,1704.0710299538914
58,2,1e-05,10,1,0.01855850563917914,0.01690845741541125,5.866462990641594,1728.9946971479803
59,2,1e-05,10,1,0.018456175381269976,0.016892419022042304,5.848017022013664,1736.3017689529806
60,2,1e-05,10,1,0.019055775940641125,0.016910623759031296,5.878402858972549,1728.9441053241026
61,2,1e-05,10,1,0.018314658207261664,0.016859680938068777,5.812617547810078,1732.322341785999
62,2,1e-05,10,1,0.01854648751915138,0.016852322354679927,5.820202387869358,1719.222309323959
63,2,1e-05,10,1,0.018547310796367306,0.01685222124797292,5.837845653295517,1738.0898006209172
64,2,1e-05,10,1,0.0190615842007419,0.01684602544992231,5.812311813235283,1732.4955351608805
65,2,1e-05,10,1,0.018245356749647702,0.016848625091370195,5.824168957769871,1734.6770055361558
